WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,duration,views
1044,71.66,83.34,23.02,69.12,15.82,19.73,85.25,53.16,13.79,5.36,0.48,3.07,1.34,0,0.48,8.43,10.73,11.97,7.95,5.84,7.85,0.19,15.04,3.35,1.82,2.3,1.72,2.97,3.35,2.78,0.48,0.1,0,0.19,7.76,0,0,0,0,12.84,4.21,4.21,0.48,2.3,1.05,1.82,4.89,3.93,0.19,0.19,2.2,2.01,0.19,0,0,9,4.31,3.64,1.05,0.48,0.19,1.72,11.69,1.05,10.54,0.86,6.51,3.54,1.63,0.48,0.1,0,0,0,0.67,0,0.19,0.29,0.38,0,16.67,6.9,4.6,0.1,0,0.57,0.1,0.67,1.15,2.2,0.38,0,386,1022457
1640,54.94,53.66,75.41,47.17,15.33,15.79,91.83,60.18,15.49,7.01,3.05,0.98,2.13,0.37,0.49,8.48,10.67,12.56,10.79,7.68,7.38,1.1,18.66,4.02,2.38,3.54,0.79,2.07,2.07,1.59,0.43,0.12,0,0.12,6.77,0,0,0.43,0,14.94,3.17,2.68,2.01,3.6,1.28,4.76,4.27,2.44,0.67,0.24,1.28,0.67,0.18,0,0.43,4.15,1.52,0.79,0.91,0.67,0.43,1.52,13.84,0.61,16.52,2.44,11.16,3.17,1.46,1.28,0.18,0.12,0.12,0,0.49,0.06,0.12,0.06,0.18,0.06,18.66,6.04,7.07,0.18,0.06,1.4,0.12,0.43,1.59,1.65,0.12,0,576,522578
2176,47.88,73.09,36.52,64.11,16.24,17.23,89.75,58.27,17.05,7.44,2.76,1.19,2.16,0.46,0.87,9.6,7.86,13.65,10.34,7.12,8.18,0.51,18.89,4.09,2.57,3.17,1.42,2.25,2.94,2.48,0.46,0.09,0.05,0.14,9.15,0.05,0.14,0.05,0.46,11.72,2.57,1.93,1.29,3.91,0.97,3.03,5.56,3.72,1.29,0.18,1.75,1.33,0.23,0,0.18,5.24,2.02,1.24,1.01,0.87,0.23,2.21,13.42,0.97,12.32,1.56,7.44,3.31,2.53,1.19,0,0.18,0,0,0.78,0.05,0.23,0.46,0.23,0,20.36,6.76,5.97,0.14,0.05,0.78,0.05,0.69,1.1,3.72,1.1,0,933,771144
2461,58.89,75.91,27.61,58.05,15.19,18,82.24,55.71,16.86,7.03,1.46,2.36,0.93,0.89,1.38,9.83,6.62,14.63,9.47,4.67,6.91,1.14,17.43,3.49,2.11,2.03,1.46,3.05,2.36,2.03,0.33,0.12,0.08,0.08,9.02,0,0.04,0,0.93,11.3,2.23,3.05,1.06,2.28,1.5,2.68,1.95,1.02,0.49,0.28,2.48,0.53,0.77,0.08,1.02,6.75,3.05,1.67,1.91,0.41,0.08,3.25,12.35,0.53,13,1.99,7.96,3.29,1.99,0.45,0.37,0.16,0,0.08,0.24,0,0.04,0.04,0.16,0,18.49,7.23,6.05,0,0,0.57,0,0.41,0.85,3.21,0.16,0,1062,1118954
2966,66.11,68.63,50.48,52.32,27.98,19.86,88.98,55.46,12.61,6.04,1.52,2.29,0.88,0.4,0.94,6.57,7.62,15.34,8.23,7.01,8.5,1.75,15.14,5.36,3.51,3.1,1.58,2.76,3.91,2.66,1.25,0.17,0.3,0.24,9.54,0.03,0.13,0,0.61,13.72,2.49,2.26,1.38,3.34,1.25,4.55,1.69,0.88,0.64,0.13,0.74,0.07,0.57,0,0.13,9.47,3.34,1.82,3.03,1.31,0.91,3.67,10.82,1.21,14.3,1.89,7.08,5.46,4.75,0.3,0.17,2.02,0.13,0.03,0.34,0.03,0.03,0,0.24,0.03,17.57,4.42,8.9,0.2,0,0.17,0,0.34,0.34,3.07,0.13,0,1080,308233
2868,55.82,72.91,36.74,59.44,13.46,13.04,84.94,57.01,17.12,8.68,2.58,1.5,2.41,1.26,0.94,8.44,9,12.94,10.77,5.96,5.58,1.39,17.19,4.46,2.72,1.53,2.79,2.02,4.32,3.03,1.26,0.31,0.28,0.24,8.89,0,0.24,0.21,1.6,9.48,0.84,1.71,1.43,2.82,1.39,2.65,2.51,1.46,0.49,0.52,1.6,1.15,0.31,0,0.1,6.52,1.88,1.01,2.3,0.91,0.8,3.66,12.34,1.19,15.59,2.62,8.89,4.32,1.6,0.7,0.07,0.14,0,0.24,0.31,0.07,0,0.07,0.17,0,20.92,8.51,6.45,0.03,0.03,0.1,0.03,0.42,0.63,4.36,0.35,0,870,571893
3039,84.88,82.16,24.44,56.21,19.48,20.6,82.66,54.89,12.37,6.84,0.46,3.49,1.35,0.79,0.76,5.53,10.99,15.2,6.68,5.86,6.84,0.95,11.91,4.48,2.67,1.25,1.68,1.78,3.16,2.37,0.76,0.1,0.16,0.16,9.28,0,0.13,0.16,0.72,11.55,2.01,1.38,1.22,3.72,1.09,3.46,2.76,1.61,0.92,0.23,0.79,0.03,0.26,0.1,0.39,7.34,3.75,1.28,1.38,1.32,0.13,2.86,7.73,1.09,12.93,1.71,7.7,3.59,1.78,1.25,0.92,0.49,0.13,0,0.23,0.03,0,0.16,0.03,0,16.32,6.02,5.89,0.03,0.03,0.1,0,0.3,0.86,1.84,1.25,0,1094,2129938
1899,40.02,73.45,39.34,58.65,22.34,21.22,86.78,57.35,14.96,6.32,1.63,0.95,2.11,0.16,1.47,8.64,6.16,12.8,9.32,9.85,8.11,1.21,16.69,3.48,1.47,2.95,1.16,2.37,4.48,3.11,1.37,0.16,0.79,0.21,10.58,0,0.05,0,0.32,15.43,2.9,2.69,1.79,3.58,1.53,4.53,1.79,0.9,0.79,0.11,0.58,0.11,0.16,0.21,0,7.74,2.05,2.05,2.95,1.21,0.63,3.05,10.22,1.84,12.27,1.53,6.27,4.42,2.37,1.47,0.16,0.26,0,0.11,0.63,0,0.11,0.05,0.47,0,14.43,5,6.16,0,0,0.53,0,0.32,0.63,1.37,0.42,0,713,430276
2528,75.71,74.06,51.88,65.49,22.37,22.27,85.48,53.01,12.94,6.29,1.38,2.29,0.32,0.63,1.66,6.61,7.48,15.35,6.84,6.76,6.96,0.51,14.04,5.42,3.01,1.9,1.42,2.18,3.12,2.61,0.51,0,0,0.16,8.47,0.12,0,0,0.67,12.9,3.72,2.93,1.15,2.81,0.75,2.73,1.31,0.63,0.28,0.24,1.03,0.2,0.47,0.04,0.36,9.14,3.2,2.18,2.53,1.62,0.44,3.72,8.54,0.83,15.23,2.37,7.28,5.85,4.67,0.44,0.16,1.34,0.16,0,0.16,0,0.04,0.08,0.04,0,13.81,5.22,5.78,0,0,0.47,0,0.36,0.16,1.58,0.08,0.16,1010,1340175
2437,54.5,50.33,66.73,78.42,15.23,15.59,88.22,56.22,16.41,8.99,5.01,1.15,1.11,0.66,1.07,7.43,6.93,13.87,7.84,7.14,7.67,1.11,15.06,4.8,2.79,0.86,2.87,3.04,4.02,3.41,0.53,0.04,0.08,0.04,7.39,0.16,0.33,0.08,0.78,11.28,1.81,1.27,1.4,2.83,1.81,3.45,3.04,1.52,1.23,0.25,1.07,0.29,0.37,0,0.29,6.28,1.76,2.13,1.72,1.27,0.25,5.38,8.08,1.48,15.39,1.72,7.84,6.11,3.61,1.52,0.78,0.62,0.21,0.25,0.41,0,0.21,0,0.21,0,16.62,7.22,5.66,0.16,0.04,0.29,0,0.16,0.33,1.76,0.98,0,1060,2956967
2948,71.84,71.11,47.95,43.04,20.33,16.45,81.48,55.97,14.69,6.82,1.87,2.85,0.98,0.1,1.02,7.87,10.21,13.16,7.02,4.95,9.09,0.47,13.91,3.39,1.9,1.97,1.42,1.19,1.22,1.09,0.14,0,0,0.14,6.82,0.03,0.14,0.07,0.14,9.46,1.83,1.49,2.17,2.37,0.75,2.75,3.05,2.44,0.2,0.24,0.95,0.24,0.17,0.03,0.47,6.82,3.56,1.05,1.8,0.61,0.1,3.05,9.74,0.78,16.52,1.76,10.89,4.21,1.42,0.58,0.41,0.03,0,0,0.03,0,0,0,0.03,0,15.88,5.39,7.29,0.17,0,0.41,0,0.17,0.54,1.63,0.27,0,969,1431255
744,55.29,87.61,12.55,61.46,17.71,24.87,84.14,52.55,16.53,7.53,1.61,2.15,2.15,0.94,0.67,9.01,6.99,12.1,7.66,6.32,7.39,0.27,14.65,3.36,1.75,1.34,1.75,1.75,3.76,2.69,0.81,0,0.13,0.54,11.42,0,0.54,0,0.94,8.74,2.42,2.15,0.81,1.48,0.67,2.15,2.42,1.08,0.81,0.13,3.9,2.28,0.54,0.13,1.21,7.8,3.9,1.34,1.75,1.48,0,2.28,10.75,1.08,9.68,1.21,5.24,3.23,3.09,1.61,0,0.54,0,0.27,0.94,0.13,0.27,0.54,0.13,0,20.43,7.26,7.93,0.13,0,0.27,0,0.67,0.54,3.09,0.54,0,297,906262
2255,46.13,84.83,29.83,48.83,16.83,18.8,88.07,61.06,17.16,8.34,0.62,3.1,3.28,0.13,1.2,8.82,8.91,13.44,11.49,6.74,8.07,1.2,16.67,3.99,2.53,2.79,2,2.62,1.86,1.55,0.31,0.09,0,0,9.4,0.04,0,0,0.18,14.1,3.33,3.5,1.02,2.62,1.37,3.68,1.82,0.71,0.22,0.22,3.1,2.53,0.53,0,0.04,7.14,3.59,1.51,1.29,0.8,0.09,1.69,15.17,0.93,11.35,1.42,7.23,2.71,1.64,0.31,0.44,0,0.09,0.22,0.09,0,0,0.04,0.04,0,17.34,6.08,6.92,0.04,0.09,0.71,0,0.27,0.71,2.35,0.18,0,890,1180127
1201,79.35,86.05,14.19,57.26,24.51,19.23,86.09,54.12,14.32,7.33,0.17,3.66,1.33,1.83,0.33,6.99,8.74,15.24,6.66,6,6.16,0.33,13.91,3.83,2.08,1.25,1.17,2.5,2.16,1.92,0.25,0,0,0,9.16,0,0,1.83,0,9.58,1.17,3.16,0.67,1.5,1.58,2.83,7.41,6.24,0,1.08,3.91,3.66,0.25,0,0.17,8.58,4.08,1.33,1.58,1.42,0.17,2.58,10.99,0.75,12.91,2.75,7.83,2.25,2.16,1.25,0.08,0,0,0,0.25,0,0.08,0.08,0.08,0,14.49,5,5.25,0.17,0,0.08,0,1.58,0.17,2.08,0.17,0,366,748862
787,61.4,82,34.14,49.41,16.74,14.87,87.04,57.69,16.52,9.02,1.78,0.89,1.78,0.64,3.94,7.5,8.39,13.6,8.13,4.96,8.51,0.76,14.61,3.56,1.52,1.91,3.3,1.4,4.07,2.67,1.4,0,0.51,0.38,10.8,0.51,0.13,0.38,0.51,8.39,1.65,1.65,1.14,1.65,1.4,1.65,2.29,1.4,0.25,0.64,3.18,1.14,1.65,0.51,0.51,5.84,1.52,0.89,2.03,0.89,0.76,4.57,9.02,1.14,15.25,1.52,9.15,5.21,1.78,0.76,0.13,1.14,0.13,0.25,0.13,0.13,0,0,0,0,16.77,6.73,6.86,0,0,0,0,0.89,0,1.78,0.51,0,285,629018
1179,64.2,72.64,34.29,56.19,15.31,24.34,81.76,57.25,14.93,5.77,0.59,2.54,0.85,0.17,1.61,9.16,7.97,15.61,10.35,7.12,6.11,0.93,16.62,3.22,1.87,1.53,0.85,1.78,2.63,2.12,0.51,0.17,0.08,0,6.53,0,0,0,0.17,10.35,1.78,2.12,1.02,3.05,0.93,2.37,1.61,1.44,0,0.17,0.85,0.34,0.59,0,0.25,7.04,3.05,1.78,1.87,1.1,0,1.53,13.99,1.53,15.01,1.7,9.67,3.31,2.12,0.17,0.17,0.17,0.08,0,0.17,0,0,0.08,0.08,0,17.22,7.29,5.77,0,0,0.17,0,0.68,0,3.14,0.17,0,452,1095398
2337,44.73,58.3,76.7,58.15,23.14,16.99,88.4,57.68,17.37,9.54,4.32,1.63,3.08,0.13,0.39,7.83,6.68,13.31,8.3,9.2,6.93,0.98,14.59,4.24,2.27,2.14,1.75,3.42,1.97,1.84,0.13,0,0.04,0.04,7.53,0.04,0.09,0.04,0.13,14.08,2.65,2.87,1.16,2.95,1.16,4.84,2.57,1.11,0.64,0.56,1.45,0.51,0.86,0,0.09,5.13,2.48,0.73,1.16,1.2,0.04,2.1,11.08,1.16,14.85,2.95,8.52,3.72,3.17,1.28,0.09,0.34,0,0,0.47,0,0.04,0.43,0,0,19.13,4.96,7.79,0.64,0.04,1.07,0.04,0.6,0.98,1.45,1.28,0.26,830,16097077
2484,67.76,72.43,20.72,68.33,12.67,17.59,87.44,55.72,14.53,8.57,2.94,1.29,3.3,0.6,0.44,5.96,8.94,13.61,7.77,5.68,7.93,1.13,15.14,3.78,2.09,1.09,1.21,1.85,3.95,3.1,0.85,0.2,0.2,0.12,8.01,0,0.16,0.04,0.68,12.96,2.38,3.18,1.73,3.54,1.37,2.5,3.54,1.13,1.73,0.44,3.02,1.09,1.25,0.04,0.68,7.13,1.97,2.33,1.45,1.29,0.36,2.46,11.88,0.44,10.63,1.37,6.16,3.02,2.58,0.52,0.44,0.32,0.12,0.12,0.85,0.08,0.16,0.2,0.2,0.36,18.28,8.33,6.8,0,0,0.16,0,0.24,0.64,1.21,0.89,0,1084,431307
2419,66.76,54.92,74.15,30.67,14.57,15.58,85.45,55.56,11.86,6.24,2.36,0.79,1.69,0.12,1.28,5.62,7.98,13.68,9.38,6.08,8.39,0.83,15.83,5,3.02,1.65,2.11,1.86,4.38,2.27,1.98,0.25,0.79,0.37,5.7,0.04,0.17,0.08,0.21,8.64,1.41,1.41,1.03,1.49,0.7,3.76,2.32,1.69,0.45,0.08,1.03,0.08,0.87,0,0.04,8.89,1.24,2.07,4.92,1.32,0.58,4.67,10.33,2.15,18.52,3.35,9.96,6.08,2.65,0.17,0.08,1.9,0.04,0.5,0.5,0,0.37,0.25,0.04,0,18.15,7.65,7.07,0.04,0,0.54,0,0.17,0.5,0.95,1.24,0,950,1738069
3088,62.35,81.86,50.11,75.12,24.31,18.43,88.02,57.71,16.58,6.54,1.07,3.5,0.81,0.03,1.13,10.04,8,14.99,9.33,6.22,6.77,0.65,15.19,3.98,2.4,2.78,1.68,2.82,3.5,3.04,0.39,0.13,0.13,0,9.49,0,0.06,0,0.03,11.82,2.53,2.49,1,2.75,1.3,2.98,1.91,0.87,0.26,0.29,1.17,0.32,0.36,0,0.55,8.81,4.31,1.78,2.17,0.74,0.19,2.36,11.53,1.42,15.48,2.66,8.48,4.76,2.49,0.45,0.39,0.97,0.03,0,0.16,0,0.03,0,0.13,0,14.9,5.05,6.28,0.1,0.06,0.23,0,0.36,0.32,2.23,0.26,0,1000,807653
1796,82.73,67,30.76,45.19,18.14,19.6,81.4,53.95,13.08,5.73,1.61,2.06,1.17,0.06,0.84,7.35,9.63,15.26,7.63,4.79,6.46,0.67,13.98,3.73,1.73,1.06,2.12,1.95,3.95,2.51,1.45,0.33,0.56,0.28,5.85,0,0.06,0,0.11,11.02,1.45,2.51,2,3.06,1.22,2.39,3.17,0.89,0.22,2,1.06,0.22,0.45,0.06,0.39,7.91,2.34,1.73,2.34,1.06,1.11,1.95,10.3,1.17,14.59,1.78,9.24,3.67,1.11,0.28,0.17,0.67,0,0.28,0.17,0,0.06,0,0.11,0,17.48,6.29,7.68,0.11,0.11,0.33,0,0.45,0.22,1.84,0.33,0.11,703,666784
2032,44.37,76.68,41.02,70.24,12.62,16.78,83.27,52.95,15.45,6.35,0.44,1.38,2.56,0,1.97,9.01,6.59,9.94,9.65,5.61,7.09,1.67,13.68,3.1,1.03,1.23,3.69,2.02,3.25,2.76,0.39,0,0.05,0.1,8.81,0.05,0.05,0.1,0,9.69,1.28,1.48,0.94,3.05,0.98,3.35,2.85,1.38,0.84,0.59,3.99,0.98,0.2,0,2.81,5.51,1.97,1.28,1.87,0.64,0.25,2.76,11.32,1.43,15.5,2.17,8.81,4.72,1.57,0.34,0.3,0.54,0.05,0.05,0.3,0,0.05,0,0.25,0,21.46,8.61,8.22,0.3,0.15,0.2,0,0.3,0.3,0.84,1.87,0.69,1034,833308
2206,36.09,74.02,53.85,80.11,9.72,12.42,91.34,58.39,18.72,9.61,3.76,1.63,2.95,0.45,0.82,9.11,7.71,11.33,11.24,7.71,6.26,1.04,19.4,4.17,2.45,2.09,2.27,2.77,4.58,3.76,0.77,0,0.18,0.09,9.79,0.18,0.14,0.23,0.54,13.28,2.86,2.54,1.36,3.99,0.77,3.13,3.17,2.13,0.54,0.23,0.68,0.09,0.36,0,0.18,8.75,3.22,1.99,2.09,1.59,0.36,2.81,15.28,1.22,13.64,2.09,8.07,3.76,2.04,2.81,0,0.14,0.05,0,1.59,0,0.09,0.63,0.91,0,26.02,10.47,6.89,0.09,0.09,0.95,0.05,0.45,2.27,4.31,0.45,0,709,517779
2752,61.01,81.23,57.24,64.35,18.11,16.79,88.44,58.39,15.88,8.5,1.6,4.58,1.82,0.33,0.18,7.38,8.72,14.46,9.52,6.14,6.72,1.96,16.35,3.6,1.6,2.47,1.71,2.47,3.78,2.91,0.87,0.29,0.15,0.18,9.92,0.07,0.11,0,0.51,12.97,2.29,2.25,2.18,2.51,1.78,3.89,1.49,0.84,0.44,0.15,0.91,0.11,0.69,0.04,0.04,10.21,5.2,1.74,2.22,1.45,0.47,2.62,12.61,1.67,16.82,3.38,8.21,5.34,2.18,0.51,0.11,0.22,0.51,0,0.4,0,0,0.07,0.29,0,17.66,6,7.99,0.04,0.04,0.55,0,0.15,0.44,1.89,0.58,0,1066,778978
365,97.38,69.88,48.81,25.77,16.59,20.82,78.08,44.38,7.12,3.01,0,1.64,0.82,0,0.55,4.11,8.49,17.53,4.66,2.19,4.11,1.64,10.96,3.01,1.1,0.82,5.48,2.19,3.29,1.64,1.64,0,0,0.82,5.48,0,0,0,0,7.4,1.92,1.92,0.82,1.1,0.82,1.1,1.92,1.37,0.27,0.27,1.1,0.27,0.55,0.27,0,4.93,2.74,1.1,1.64,0.82,0.27,4.66,5.21,0.27,18.63,1.1,14.79,2.74,1.92,0.27,0.27,1.37,0,0,0.55,0,0.55,0,0,0,17.53,8.49,7.12,0.27,0,0.27,0,0.27,0,0.55,0.55,0,174,359942
922,84.53,69.1,16.62,74.27,23.64,24.95,76.25,47.4,11.17,6.51,0.87,0.22,0.33,4.23,0.87,4.66,6.62,14.64,4.45,5.31,6.72,0.33,10.52,4.12,2.06,0.87,1.95,1.63,3.04,2.82,0.22,0,0.22,0,8.13,0.22,0,2.06,2.49,9.98,2.17,2.39,0.43,1.74,1.41,2.49,2.93,2.28,0.43,0.11,1.08,0.33,0.22,0.11,0.33,5.53,1.3,3.04,0.98,0.65,0,1.84,7.48,1.08,14.32,0.87,8.46,4.99,3.25,3.04,0.43,0.65,0.54,0,0.11,0,0,0,0.11,0,14.43,5.21,6.94,0,0,0,0,1.41,0,0.65,0.22,0,394,437800
3190,63.78,78.44,32.13,51.59,20.85,21.19,87.05,59.47,15.2,7.43,1.1,2.57,2.41,0.13,1.22,7.77,8.81,14.73,10.03,6.11,7.15,1.07,16.21,3.26,1.54,1.19,1.38,1.79,3.39,2.35,0.97,0.16,0.31,0.16,8.53,0,0.09,0.06,0.09,11,1.69,2.07,1.97,2.07,1.29,3.35,1.76,0.78,0.66,0.25,0.6,0.16,0.28,0.06,0.09,8.9,2.82,2.23,2.45,1.63,0.38,3.89,11.38,1,14.17,2.45,7.74,4.2,3.07,0.88,0.78,0.44,0.09,0.13,0.5,0.13,0,0.06,0.22,0,15.11,5.77,6.11,0.22,0,0.25,0,0.31,0.38,1.57,0.44,0.06,1122,717531
783,75.9,80.38,21.27,27.9,21.16,17.11,86.85,53,14.94,6.51,0.89,1.66,1.92,1.53,0.51,8.43,7.92,14.81,7.15,4.73,5.87,1.15,14.81,4.73,2.94,1.4,3.07,1.15,3.7,1.92,1.79,0.13,0.13,0.38,10.09,2.3,0,1.02,0.89,10.86,2.04,2.3,2.81,1.92,0.64,3.07,2.55,1.4,0,1.15,3.7,1.4,2.17,0,0.38,9.07,2.94,2.04,2.68,0.51,1.02,3.32,10.47,1.66,14.56,1.92,8.94,4.09,1.4,0.26,0.26,1.15,0,0.64,0,0,0,0,0,0,15.45,6.13,5.75,0.38,0,0.13,0,0.89,0,2.17,0,0,286,702550
1227,54.2,71.31,77.79,73.01,23.6,14.26,90.22,59.49,16.38,7.74,2.12,2.61,2.53,0,0.49,8.64,8.23,15.57,9.21,9.29,7.25,1.14,16.38,3.42,2.28,1.47,1.79,2.61,3.5,3.02,0.49,0.08,0.08,0.16,7.17,0,0.49,0,0.24,10.02,1.47,1.39,0.81,2.28,1.79,3.34,4.32,3.42,0.65,0.16,0.41,0.08,0.24,0,0.08,6.44,3.1,1.14,1.14,0.98,0.24,2.53,12.88,1.3,19.48,2.28,12.55,5.13,1.63,0.73,0,0.41,0.08,0,1.3,0.08,0.08,0.81,0.33,0,22.49,6.11,8.64,0.08,0,0.16,0,0.73,0,4.65,2.12,0,465,1718568
2818,44.4,76.33,41.86,61.44,21.35,18.56,86.8,56.64,16.64,6.49,0.99,3.58,0.92,0.32,0.67,10.15,7.13,12.42,9.9,6.74,7.67,1.53,16.08,4.68,2.7,2.09,2.24,2.7,3.23,2.56,0.67,0.07,0.25,0,9.05,0.14,0.18,0,0.67,13.59,2.95,2.02,1.56,2.45,1.7,3.83,1.35,0.43,0.53,0.14,1.81,0.25,1.1,0,0.46,8.41,4.26,1.17,2.41,0.78,0.35,3.19,12.24,0.82,13.88,2.24,6.32,5.36,1.38,0.18,0.25,0.82,0,0.14,0.14,0.04,0,0,0.07,0,19.87,5.75,8.37,0.43,0.53,0.28,0,0.46,0.71,2.98,0.35,0,992,540897
3018,61.76,72.34,22,49.84,16.86,19.35,88.01,55.37,13.39,6.16,0.73,1.89,1.49,0.89,1.16,7.22,8.71,13.39,10.77,5.93,6.2,2.58,17.23,4.08,1.49,1.89,2.22,1.99,5.2,3.25,1.95,0.5,0.5,0.3,9.71,0.1,0.07,0.5,0.53,12.36,2.09,2.35,1.82,2.49,1.72,3.74,1.82,0.6,0.66,0.53,1.36,0.2,0.96,0.07,0.1,10.5,2.22,1.69,5.14,1.19,1.29,3.58,12.89,1.06,12.52,2.32,6.89,3.35,5.7,0.5,0.03,0.86,0.03,0.03,0.66,0.1,0,0.17,0.4,0,19.32,6.13,5.73,0.5,0.13,0.7,0,0.4,0.99,4.04,0.66,0.03,1101,610454
1102,41.51,61.44,74.52,47.59,21.61,14.79,88.38,59.98,17.33,8.62,3.81,2.54,1.81,0,0.45,8.71,6.72,14.25,10.25,8.53,8.08,0.73,14.88,4.17,2.63,1.54,1.27,3.81,2.09,1.63,0.45,0.09,0.09,0,6.62,0,0,0,0.09,12.7,2.9,1.72,1.45,3.18,1.91,3.54,3.9,3.36,0.36,0.09,0.54,0.18,0.36,0,0,6.35,2.54,1.18,2.09,1.18,0,1.54,14.52,1.36,16.15,3.18,8.89,4.72,0.91,0.64,0.09,0.09,0,0.36,0.18,0,0,0,0.18,0,16.52,5.08,6.62,0,0.45,0.27,0,0.36,0.18,3.18,0.36,0,385,654080
2769,49.29,58.29,65.12,66.12,19.64,18.09,86.78,59.37,17.8,8.85,4.44,1.91,1.7,0.07,0.72,8.96,7.98,13.36,9.35,5.71,8.23,1.44,17.26,3.18,1.7,1.63,0.87,1.66,3.39,2.74,0.61,0.14,0.11,0.14,7.37,0.11,0.07,0,0.11,12.5,3.39,2.38,0.87,2.09,1.37,2.89,1.95,1.12,0.43,0.14,0.87,0.11,0.47,0.07,0.14,7.3,2.53,2.02,1.99,1.34,0.33,6.86,7.11,1.12,13.54,2.2,7.84,3.72,3.07,1.77,0.18,0.4,0.07,0.04,0.4,0.11,0,0.14,0.11,0,19.18,5.74,8.31,0.14,0,0.22,0,0.47,1.99,1.95,0.36,0,1028,1890066
3022,43.43,75.55,31.65,62.17,19.01,16.25,88.09,60.23,18.2,7.41,1.69,1.26,3.41,0.23,0.83,10.75,7.64,13.43,11.25,5.69,7.88,1.32,17.34,4.4,2.08,2.85,1.75,2.51,3.41,2.65,0.73,0.03,0.13,0.2,8.84,0,0.1,0.17,0.17,13.83,3.57,2.28,1.36,3.67,1.46,3.57,1.85,0.6,0.79,0.36,1.32,0.17,0.56,0.07,0.56,5.49,1.75,1.26,1.59,1.09,0.43,1.16,15.19,1.52,10.89,1.56,6.88,2.58,1.95,0.4,0.13,0.6,0.13,0,0.2,0,0,0.07,0.13,0,18.5,5.96,7.61,0.6,0.07,0.53,0,0.23,0.33,2.65,0.46,0.07,1115,619489
2431,43.26,89.28,14.31,56.87,15.89,15.96,85.31,57.63,17.28,8.72,0.33,3.99,3.17,0.12,1.11,8.56,7.36,12.46,10.49,7.69,6.54,1.15,17.85,3.25,1.48,1.73,1.6,2.51,4.2,2.92,1.28,0,0.33,0.21,10.7,0,0.08,0.08,0.21,12.51,1.93,2.51,2.51,2.96,1.19,3.91,2.84,1.81,0.74,0.29,2.06,0.86,0.82,0.04,0.33,9.17,4.11,1.93,1.65,1.15,0.86,1.69,14.69,1.15,11.07,1.77,6.21,3.33,1.36,0.53,0.41,0.66,0,0.41,0.66,0.04,0.12,0.21,0.25,0.04,20.53,6.87,6.13,0.49,0.49,0.45,0.04,0.78,0.33,3.87,1.07,0,1018,851719
2614,64.57,76.52,26.83,97.63,17.66,19.93,86.46,54.67,16.45,7.73,2.49,2.14,0.99,0.46,1.64,8.68,7.92,13.93,7.69,6.62,5.39,1.42,15.19,3.79,1.64,1.57,1.3,2.18,6.5,5.89,0.61,0.04,0.27,0.08,10.71,0.04,0.19,0,0.65,12.13,2.68,2.33,1.57,2.33,1.45,2.68,2.37,0.99,1.19,0.11,0.73,0.19,0.27,0.08,0.19,10.02,4.06,2.1,2.87,1.42,0.31,3.29,11.36,1.07,11.48,1.53,6.5,3.6,3.25,1.45,0,0.96,0.23,0.04,0.92,0.04,0.04,0.61,0.19,0.04,20.7,7.12,7.27,0.77,0.11,0.27,0,0.5,1.15,2.68,0.84,0,1125,389961
2541,55.06,82.76,36.24,53.12,16.08,17.24,83.94,56.04,15.51,6.97,0.63,3.38,1.93,0.2,0.83,8.54,7.99,13.26,9.13,6.38,8.26,1.14,14.88,4.57,2.16,1.85,2.01,2.13,2.68,2.05,0.59,0.04,0.16,0.04,8.97,0,0.04,0,0.35,10.51,2.16,1.57,1.26,2.79,1.3,3.07,2.2,1.53,0.2,0.35,0.98,0.31,0.59,0,0.04,7.83,4.05,1.1,1.89,1.02,0.16,2.52,11.73,1.18,14.48,1.77,8.89,4.05,2.75,0.63,0.24,0.55,0,0.08,0.63,0,0.12,0.08,0.43,0,20.07,6.65,6.65,0.79,0.16,0.71,0,0.59,0.31,3.46,0.63,0.12,922,1514014
2315,51.23,67.64,45.93,57.63,24.37,21.51,89.5,58.19,16.5,6.7,1.86,0.86,3.02,0.09,0.86,9.76,7.39,13.95,9.63,7.95,6.39,1.38,15.77,4.88,2.51,2.46,2.16,3.07,4.02,2.85,1.17,0.3,0.13,0.17,9.24,0.04,0.04,0.17,0.09,16.5,2.89,2.33,1.81,4.54,2.46,5.27,1.86,0.65,0.91,0.09,0.78,0.17,0.26,0.13,0.17,7.9,1.17,1.94,4.02,1.04,0.6,2.25,11.49,0.95,12.27,1.81,7.78,2.89,3.41,0.65,0.35,2.25,0.09,0,0.6,0.04,0.04,0.43,0.09,0,18.88,4.32,8.25,0.09,0.17,0.56,0,0.43,1.56,3.07,0.43,0,757,1056987
