WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,duration,views
1570,69.8,62.26,60.19,65.59,18.92,22.23,85.41,50.57,12.87,7.52,3.25,2.68,0.51,0.13,0.96,5.35,7.13,12.87,8.03,4.08,7.07,1.66,14.33,6.18,2.93,1.59,2.1,2.1,7.45,4.78,2.68,0.76,0.45,0.96,9.43,0.25,0.06,0.25,0.38,12.48,2.48,1.34,2.23,2.29,1.72,4.59,2.23,0.89,0.57,0.32,1.27,0.45,0.76,0.06,0,12.17,3.69,4.65,4.39,2.17,1.02,4.97,7.39,1.46,14.59,1.97,6.56,6.31,3.89,2.74,0.06,0.19,0.19,0.25,0.06,0,0.06,0,0,0,16.37,5.92,6.31,0,0,0.32,0,0.7,0.76,1.46,0.89,0,920,1079698
2420,31.85,69.73,36.47,82.66,15.41,14.21,90.25,59.26,19.5,9.79,4.34,0.74,2.02,0.7,1.98,9.71,7.07,11.78,10.08,7.4,8.47,0.95,19.46,3.68,1.98,1.78,1.94,1.9,4.42,3.8,0.62,0.17,0.04,0.04,10.33,0.08,0.17,0.45,0.54,11.45,2.31,1.98,2.02,2.07,1.2,2.64,3.22,1.32,1.57,0.25,0.66,0.41,0.17,0,0,6.03,1.2,1.32,2.11,1.32,0.58,5.7,10.74,1.24,12.36,1.98,6.94,3.43,4.34,0.66,0.37,0.37,0.04,0.04,0.95,0,0,0.41,0.45,0.04,22.89,6.03,8.47,0.08,0,1.07,0.04,0.12,3.26,3.47,0.33,0,746,1323235
1165,45.15,66.31,58.13,67.92,21.18,13.91,90.3,59.66,17.42,8.93,3.52,2.75,1.8,0.6,0.26,8.41,7.98,13.48,9.53,8.76,7.47,0.94,18.28,3.69,2.58,1.29,2.06,3.52,5.41,3.78,1.55,0.09,0.26,0.52,7.64,0.17,0.09,0.09,0.77,11.85,2.32,1.12,1.55,5.06,0.69,3.43,3.43,1.72,1.37,0.09,1.29,0.86,0.17,0.09,0.09,9.79,3.26,2.32,2.75,2.15,0.6,4.38,11.85,1.2,15.11,3.18,7.9,4.72,2.15,0.43,0,0.09,0.09,0,0.69,0.09,0,0.26,0.34,0,20.86,5.92,7.04,0.52,0,0.6,0.09,0.34,0.34,3.95,2.06,0,428,1297943
1315,53.8,22.12,79.79,64.69,13.56,19.09,85.02,56.5,17.26,11.1,8.9,0.61,0.76,0.08,0.76,6.16,8.52,12.24,8.59,4.18,8.14,2.21,13.84,4.11,1.52,1.52,1.29,2.21,3.8,2.89,0.84,0.3,0.08,0,6.77,0.61,0,0.23,0.3,11.71,1.6,1.67,1.44,2.05,1.22,4.64,2.74,1.14,0.61,0.53,2.89,1.67,0.46,0,0.53,6.62,1.44,1.44,2.21,1.14,0.91,1.6,12.7,0.3,12.4,1.22,7.91,3.04,1.44,1.52,0.99,0.53,0,0,0.23,0.08,0,0.08,0.08,0,17.49,7.53,5.17,0,0,0.68,0.08,0.53,0.53,2.51,0.46,0,597,1069469
1850,47.15,91.42,66.89,73.24,19.27,13.41,91.68,56.38,18.54,9.95,1.84,2.22,3.19,0.54,2.16,8.59,7.95,12.59,9.78,6.49,6.7,0.97,18.7,4.16,2.27,3.24,2.05,2.49,3.51,2.97,0.43,0.11,0.05,0.16,13.78,0.22,0,0,0.59,10.32,2.38,2.05,0.7,2.22,1.24,2.7,3.57,1.03,1.57,0.81,2.05,0.32,0.92,0,0.7,8.05,3.08,1.73,1.3,1.84,0.65,3.14,14.92,0.81,17.95,2.11,8.7,7.24,2.11,1.3,0.65,0.76,0.05,0,0.49,0,0.38,0,0.11,0,20.81,5.84,7.68,0.27,0.27,0.32,0,0.59,1.08,4,0.76,0,569,1858990
1487,56.59,90.84,67.19,29.13,19.06,19.3,90.32,54.94,16.81,10.36,3.83,3.03,2.29,0.2,1.01,6.46,6.72,13.79,8,5.45,8.14,0.74,15.27,3.97,2.08,1.68,2.08,3.36,3.43,1.75,1.55,0.07,0.07,1.14,15.87,0.27,0.81,0.07,0.2,10.42,1.82,2.02,0.74,2.22,1.48,3.3,3.23,1.82,1.01,0,3.56,0.2,1.61,0,1.68,11.1,7.87,0.94,2.02,0.61,0.34,2.22,11.9,1.08,15.67,1.21,10.02,4.24,1.08,1.28,3.03,0.2,0.07,0.2,0.13,0,0,0.07,0,0,18.16,5.85,7.13,0.2,0.13,0.27,0.2,0.34,0.94,2.96,0.13,0,615,1363680
2870,39.23,93.24,27.17,46.3,22.96,19.76,91.39,57.84,18.82,9.09,1.11,3.38,3.48,0,1.11,9.72,6.38,13.03,9.79,7.11,7.25,1.22,18.78,3.59,2.47,2.33,1.32,2.72,4.36,2.72,1.6,0.1,0.49,0.38,14.04,0,0.1,0,0,16.66,4.39,2.68,3.69,2.89,1.53,3.55,2.33,0.91,0.94,0.38,0.87,0.31,0.35,0,0.21,10.56,4.81,1.67,2.33,1.95,0.59,2.02,14.32,0.77,11.99,1.36,6.69,4.04,1.92,1.15,0.35,0.73,0.03,0,0.98,0.07,0.21,0.17,0.45,0,15.82,4.53,5.44,0.49,0.03,0.63,0,0.1,0.42,3.76,0.35,0.07,1020,1346060
2139,52.15,64.77,53.37,77.41,23.51,15.15,85.69,56.52,16.18,6.03,2.24,1.92,1.54,0.09,0.23,10.14,8.56,13.18,10.85,7.06,7.11,0.75,18.93,2.95,2.2,2.01,2.15,3.18,3.27,3.04,0.23,0.09,0,0,6.26,0.05,0,0,0.23,9.77,1.45,1.78,0.51,2.01,1.45,2.95,3.23,1.17,1.22,0.56,1.73,1.26,0.09,0,0.28,7.2,2.57,1.12,2.29,1.5,0.14,2.48,14.77,1.22,15.47,3.93,9.07,2.85,1.31,0.19,0.23,0,0.09,0,0.33,0,0,0.23,0.09,0,21.88,5.42,6.87,0.47,0.14,0.56,0.05,0.65,0.37,5.1,2.24,0,873,1475823
1089,65.11,80.33,31.39,51.55,20.94,19.56,83.38,54.64,15.89,6.98,1.19,4.5,0.83,0,0.46,8.91,7.9,13.77,6.98,6.8,6.98,0.55,15.43,3.67,2.57,1.65,1.84,3.21,1.93,1.65,0.28,0,0,0.09,7.71,0,0.09,0,0.09,11.39,1.84,2.02,1.93,3.03,1.1,2.75,3.86,3.4,0.28,0.18,0.46,0.18,0.28,0,0,8.72,4.68,1.29,1.19,1.84,0.37,1.74,13.5,1.01,14.23,3.12,7.35,4.13,2.66,0.73,0,0.09,0,0,0.28,0,0,0,0.28,0,15.89,5.69,5.69,0.09,0.09,0.28,0,0.55,0,2.75,0.73,0,457,1164777
1301,58.37,94.57,10.67,89.11,18.32,18.6,86.78,54.19,16.99,9.22,1.31,3.69,2.54,0.92,0.77,7.76,7.76,12.07,8.38,4.69,7.07,0.69,17.14,4.69,2.69,2.69,0.85,2.61,5.07,4.3,0.54,0.08,0,0.31,14.68,0.15,0.31,0.23,1,15.53,4.07,3.61,2.23,2.31,2.08,2.84,2.77,1.31,1.08,0.31,2.08,0.08,1.84,0,0.23,10.68,5.69,2.15,1.61,2.46,0.31,2.77,13.99,0.46,8.46,1.23,3.84,3.46,2.23,0.31,0.15,0.08,0,0,0.38,0,0,0.15,0.23,0,17.29,5.61,6.46,0.08,0,1,0,0.46,1.08,2.31,0.31,0,586,1139827
2117,59.4,73.51,53.91,65.16,18.25,19.89,85.5,51.77,13.37,6.61,1.09,2.22,1.56,0,1.75,6.71,7.42,12.47,8.88,6.94,6.33,1.98,15.82,5.67,2.27,1.56,2.83,3.35,3.83,2.93,0.85,0.14,0.19,0.24,9.78,0.14,0.24,0,0,12.99,1.89,3.02,1.37,2.6,1.37,4.2,1.13,0.52,0.43,0,0.61,0.09,0.47,0,0,8.27,3.59,1.09,2.17,1.28,0.28,2.08,12.42,1.13,15.78,2.74,10.82,2.13,2.17,0.99,0.8,1.61,0,0,0.47,0,0,0.09,0.38,0,20.45,6.57,7.18,1.04,0.09,0.43,0,1.23,0.09,3.35,0.47,0,860,834190
1891,51.38,79.53,17.48,54.65,14.66,20.57,85.19,53.68,16.45,8.83,2.22,2.64,1,0.79,2.17,7.62,7.24,11.69,10.95,4.44,5.87,1.69,18.14,3.75,1.75,2.54,1.75,2.12,5.39,3.44,1.9,0.37,0.53,0.37,11.79,0.16,0.32,0.63,0.48,14.44,3.97,2.43,2.59,2.54,1.75,3.28,2.17,1.11,1.06,0,0.95,0,0.32,0.05,0.58,10.15,3.07,2.12,3.23,2.75,0.9,4.39,12.11,0.95,9.31,1.06,5.13,3.12,5.13,0.32,0.26,0.9,0.11,0,0.32,0,0,0,0.32,0,20.31,7.4,6.08,0.42,0.05,0.95,0,0.42,0.74,3.17,1.06,0,798,761258
