WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,comments,duration,views
3581,68.83,65.01,35.64,64.42,20.46,22.79,82.69,52.22,14.27,5.17,1.54,2.46,0.39,0.28,0.5,9.1,7.34,13.93,8.57,4.83,6.81,0.87,14.55,6.62,3.27,1.93,2.4,2.9,4.05,3.04,1.01,0.08,0.14,0.08,6.51,0.03,0.17,0,0.28,12.04,2.01,2.21,1.4,3.02,1.76,3.07,2.76,1.9,0.5,0.17,1.12,0.14,0.87,0,0.03,8.46,3.6,1.17,3.02,0.78,0.2,1.7,12.31,0.98,13.85,1.42,9.49,2.96,2.04,0.2,0.2,0.11,0,0.08,0.31,0.03,0,0.08,0.14,0.03,14.94,5.95,4.8,0.42,0.03,0.22,0,0.59,0.11,1.98,0.84,0,278,1286,1491698
2729,49.34,63.62,53.64,62.59,16.85,15.57,88.31,57.75,16.75,10.7,4.29,1.03,0.77,3.19,1.43,6.05,7.55,12.46,8.9,5.94,7.59,2.02,17.55,4.25,1.43,1.65,1.54,1.28,4.91,3.41,1.47,0.22,0.29,0.44,10.88,0.18,0.44,2.05,1.87,11.29,2.97,0.92,1.5,2.49,1.69,2.82,3.96,1.58,1.98,0.29,1.83,0.95,0.44,0.15,0.22,4.58,2.05,0.55,1.28,0.62,0.33,9.05,6.27,1.14,16.16,2.53,8.28,5.94,1.03,1.76,0.18,0.22,0.04,0.07,0.48,0.07,0.11,0.26,0.04,0,20.89,5.97,8.1,0.55,0.04,1.06,0,0.51,1.83,0.92,1.91,0,111,1000,1935213
2667,38.99,71.81,26.38,64.86,19.05,16.16,86.01,58.16,18.45,8.06,2.51,0.86,3.34,0.41,0.94,10.39,8.06,11.06,10.5,6.3,7.05,1.69,16.99,3.52,1.65,2.4,2.14,2.17,4.09,3.07,1.01,0,0,0.15,9.22,0.07,0.26,0.07,0.56,12.64,2.29,1.99,1.65,3.04,2.02,3.45,4.61,0.97,0.9,0.15,1.2,0.41,0.11,0,0.45,4.46,1.27,1.27,1.12,0.67,0.34,2.85,13.31,0.94,11.02,1.54,6.15,3.34,2.17,0.56,0.07,0.49,0.04,0.04,1.16,0,0.19,0.82,0.19,0,21.71,5.74,8.89,0.26,0.07,0.82,0.07,1.39,0.52,3.26,0.67,0,65,953,487630
5556,43.46,89.66,49.31,46.68,21.62,12.96,87.24,59.9,18.29,9.23,1.24,3.85,3.19,0.11,0.85,9.02,7.88,13.46,10.01,7.72,7.99,0.59,18.05,3.94,2.56,2.56,1.93,2.41,2.39,1.76,0.63,0.16,0.11,0.13,10.13,0,0.04,0,0.11,10.69,2.48,1.91,1.08,2.54,1.1,2.68,3.15,2.11,0.59,0.41,0.65,0.22,0.23,0,0.13,8.15,4.23,1.26,1.71,1.06,0.32,3.22,13.16,1.44,15.68,2.48,8.95,4.34,1.24,0.7,0.18,0.16,0.11,0.02,0.52,0.02,0.14,0.09,0.23,0.02,17.82,5.38,8.19,0.76,0.14,0.23,0.02,0.23,0.22,2.52,0,0.13,29,1697,558734
3784,45.54,83.33,59.28,42.05,20.68,15.33,87.39,60.36,15.96,6.95,0.74,2.59,3.3,0,0.32,8.96,9.09,13.4,9.94,8.22,10.23,0.66,18.53,3.91,1.88,2.75,2.09,2.14,1.43,1.16,0.26,0,0,0.03,7.72,0,0.03,0,0,10.07,1.88,2.14,0.98,3.01,0.71,2.54,4.81,4.36,0.05,0.29,0.24,0.05,0.16,0,0.03,6.16,2.91,0.66,1.51,1.08,0.11,2.33,14.4,2.09,18.23,2.77,11.13,4.39,0.45,0.29,0.05,0.05,0.03,0,0.18,0,0,0.11,0.08,0,17.23,4.65,6.95,0.03,0.05,0.85,0,0.4,0,4.25,0.05,0,255,1140,1630525
3167,56.95,81.59,31.22,33.39,21.4,18.63,88.7,57.59,16.23,8.37,1.52,3.92,1.48,0.13,1.33,7.86,8.24,13.48,9.57,5.75,7.51,1.17,16.29,4.74,1.99,1.58,2.21,1.71,4.93,2.62,2.18,0.38,0.63,0.25,10.17,0,0.06,0,0.16,12.91,2.31,2.37,2.56,2.84,0.98,3.88,1.36,0.63,0.44,0.16,0.66,0.16,0.28,0.03,0.19,11.46,4.29,2.18,3.19,1.42,1.2,3.06,12.06,1.45,13.04,1.74,7.64,3.82,2.94,0.38,0.35,1.58,0.09,0.16,0.22,0,0.03,0.03,0.16,0,15.82,4.99,6.35,0.06,0.09,0.22,0,1.01,0,2.75,0.13,0.22,36,1142,487378
3089,79.94,77.95,51.58,29,20.32,17.42,80.32,55.03,13.6,6.8,1.29,1.78,1.81,0.58,1.33,6.8,9.13,15.7,8.45,4.86,6.22,0.91,14.99,4.27,2.85,1.42,2.14,1.49,1.75,0.97,0.78,0.19,0.06,0.29,8.51,0.1,0.13,0.13,0.58,8.48,2.33,0.81,1.04,2.4,0.91,2.2,2.3,1.42,0.23,0.45,1.49,0.68,0.52,0.06,0.16,6.6,2.17,1.13,2.75,0.62,0.32,3.33,10.07,0.78,17.03,2.65,10.49,4.01,0.62,0.49,0.16,0.06,0.03,0.16,0.26,0,0.1,0.13,0.03,0,15.96,5.57,6.86,0.39,0,0.16,0,0.71,0,2.07,0.19,0,66,1171,644637
3381,52.06,72.38,53.55,51.8,23.98,17.33,85.24,58.8,16.95,7.6,2.16,2.99,1.36,0.03,1.06,9.35,6.51,15.23,8.28,7.45,8.64,0.65,14.61,4.47,2.19,1.77,1.42,1.95,2.34,1.86,0.47,0,0.24,0.12,7.31,0,0.18,0,0.12,11.15,2.37,2.01,1.12,2.81,1.04,2.9,1.8,1.18,0.09,0.33,2.13,0.41,1.33,0.03,0.15,7.36,3.43,1.39,1.63,1.01,0.3,2.43,11.8,1.42,15.26,2.16,9.2,3.87,2.57,0.38,0.18,0.21,0.03,0.15,0.27,0,0,0.06,0.21,0,15.59,4.5,7.22,0.03,0,0.53,0,1.09,0,2.22,0,0,42,1109,651151
3348,52.42,76.33,49.39,51.48,15.87,17.32,87.37,57.02,16.13,8.06,2.24,1.25,3.23,0.18,1.16,8.06,7.05,14.28,10.42,6.54,6.66,1.67,18.25,3.85,2.39,1.79,1.67,2.6,3.05,2.21,0.84,0.18,0.15,0.09,9.98,0.03,0.09,0.18,0.63,12.31,2.27,1.58,2,3.49,1.58,3.38,2.9,1.97,0.66,0.24,0.78,0.48,0.21,0,0.06,6.9,2.18,1.46,2.33,1.05,0.39,3.55,12.75,1.49,15.2,3.17,8.33,3.94,2.33,0.63,0.21,0.15,0.12,0.12,0.99,0,0,0.57,0.39,0.06,21.48,6.99,7.5,1.67,0,0.99,0.06,0.06,0.3,3.43,0.48,0,94,1318,642201
5693,27.55,71.42,54.15,44.42,19.36,13,91.64,62.16,20.78,10.05,3.23,0.76,3.69,0.83,1.55,10.71,6.73,12.59,11.42,5.97,8.33,2.13,21.9,3.46,2.13,1.9,1.23,2.44,2.93,1.93,0.91,0.14,0.42,0.04,11.01,0.16,0.21,0.16,1.18,15.98,3.76,1.95,2.3,4.06,1.7,4.23,2.69,0.83,1.23,0.53,0.63,0.21,0.16,0,0.23,5.43,1.09,0.95,2.2,1.19,0.35,6.71,12.17,1.56,13.53,2.39,7.54,3.83,2.04,0.58,0.42,0.44,0.25,0.18,0.61,0.21,0.02,0.23,0.18,0,19.55,5.09,9.19,0.11,0.09,0.25,0.02,0.12,0.25,3.88,0.56,0,116,1772,532759
