,Source (B)
1806,"https://www.ted.com/talks/mundano_pimp_my_trash_cart
"
1810,"https://www.ted.com/talks/daniele_quercia_happy_maps
"
1815,"https://www.ted.com/talks/robert_swan_let_s_save_the_last_pristine_continent
"
1853,"https://www.ted.com/talks/shimpei_takahashi_play_this_game_to_come_up_with_original_ideas
"
1862,"https://www.ted.com/talks/dave_isay_everyone_around_you_has_a_story_the_world_needs_to_hear
"
1863,"https://www.ted.com/talks/theaster_gates_how_to_revive_a_neighborhood_with_imagination_beauty_and_art
"
1864,"https://www.ted.com/talks/dame_stephanie_shirley_why_do_ambitious_women_have_flat_heads
"
1866,"https://www.ted.com/talks/daniel_kish_how_i_use_sonar_to_navigate_the_world
"
1870,"https://www.ted.com/talks/bel_pesce_5_ways_to_kill_your_dreams
"
1877,"https://www.ted.com/talks/paul_tudor_jones_ii_why_we_need_to_rethink_capitalism
"
1880,"https://www.ted.com/talks/jedidah_isler_how_i_fell_in_love_with_quasars_blazars_and_our_incredible_universe
"
1903,"https://www.ted.com/talks/yassmin_abdel_magied_what_does_my_headscarf_mean_to_you
"
1905,"https://www.ted.com/talks/jimmy_nelson_gorgeous_portraits_of_the_world_s_vanishing_people
"
1906,"https://www.ted.com/talks/bill_gross_the_single_biggest_reason_why_startups_succeed
"
1911,"https://www.ted.com/talks/suki_kim_this_is_what_it_s_like_to_go_undercover_in_north_korea
"
1935,"https://www.ted.com/talks/salvatore_iaconesi_what_happened_when_i_open_sourced_my_brain_cancer
"
1940,"https://www.ted.com/talks/el_seed_street_art_with_a_message_of_hope_and_peace
"
1943,"https://www.ted.com/talks/rich_benjamin_my_road_trip_through_the_whitest_towns_in_america
"
1959,"https://www.ted.com/talks/alan_eustace_i_leapt_from_the_stratosphere_here_s_how_i_did_it
"
1961,"https://www.ted.com/talks/bj_miller_what_really_matters_at_the_end_of_life
"
1966,"https://www.ted.com/talks/mandy_len_catron_falling_in_love_is_the_easy_part
"
1968,"https://www.ted.com/talks/sakena_yacoobi_how_i_stopped_the_taliban_from_shutting_down_my_school
"
1971,"https://www.ted.com/talks/robin_morgan_4_powerful_poems_about_parkinson_s_and_growing_older
"
1981,"https://www.ted.com/talks/teitur_home_is_a_song_i_ve_always_remembered
"
1993,"https://www.ted.com/talks/christine_sun_kim_the_enchanting_music_of_sign_language
"
