,Source (B)
1349,"https://www.ted.com/talks/zahra_langhi_why_libya_s_revolution_didn_t_work_and_what_might
"
1352,"https://www.ted.com/talks/lee_cronin_print_your_own_medicine
"
1359,"https://www.ted.com/talks/miguel_nicolelis_a_monkey_that_controls_a_robot_with_its_thoughts_no_really
"
1376,"https://www.ted.com/talks/stewart_brand_the_dawn_of_de_extinction_are_you_ready
"
1384,"https://www.ted.com/talks/jessica_green_good_germs_make_healthy_buildings
"
1385,"https://www.ted.com/talks/mark_shaw_one_very_dry_demo
"
1390,"https://www.ted.com/talks/lawrence_lessig_we_the_people_and_the_republic_we_must_reclaim
"
1395,"https://www.ted.com/talks/dan_ariely_what_makes_us_feel_good_about_our_work
"
1397,"https://www.ted.com/talks/laura_snyder_the_philosophical_breakfast_club
"
1398,"https://www.ted.com/talks/rose_george_let_s_talk_crap_seriously
"
1427,"https://www.ted.com/talks/peter_singer_the_why_and_how_of_effective_altruism
"
1430,"https://www.ted.com/talks/alastair_parvin_architecture_for_the_people_by_the_people
"
1432,"https://www.ted.com/talks/paola_antonelli_why_i_brought_pacman_to_moma
"
1436,"https://www.ted.com/talks/andrew_solomon_love_no_matter_what
"
1442,"https://www.ted.com/talks/raffaello_d_andrea_the_astounding_athletic_power_of_quadcopters
"
1447,"https://www.ted.com/talks/juliana_rotich_meet_brck_internet_access_built_for_africa
"
1449,"https://www.ted.com/talks/paul_pholeros_how_to_reduce_poverty_fix_homes
"
1460,"https://www.ted.com/talks/charmian_gooch_meet_global_corruption_s_hidden_players
"
1472,"https://www.ted.com/talks/roberto_d_angelo_francesca_fedeli_in_our_baby_s_illness_a_life_lesson
"
1475,"https://www.ted.com/talks/bastian_schaefer_a_3d_printed_jumbo_jet
"
1479,"https://www.ted.com/talks/beardyman_the_polyphonic_me
"
1499,"https://www.ted.com/talks/james_lyne_everyday_cybercrime_and_what_you_can_do_about_it
"
1502,"https://www.ted.com/talks/andras_forgacs_leather_and_meat_without_killing_animals
"
1510,"https://www.ted.com/talks/kelli_swazey_life_that_doesn_t_end_with_death
"
1514,"https://www.ted.com/talks/michael_porter_why_business_can_be_good_at_solving_social_problems
"
1521,"https://www.ted.com/talks/amanda_bennett_a_heroic_narrative_for_letting_go
"
1538,"https://www.ted.com/talks/mikko_hypponen_how_the_nsa_betrayed_the_world_s_trust_time_to_act
"
1545,"https://www.ted.com/talks/lian_pin_koh_a_drone_s_eye_view_of_conservation
"
1551,"https://www.ted.com/talks/suzana_herculano_houzel_what_is_so_special_about_the_human_brain
"
1554,"https://www.ted.com/talks/geraldine_hamilton_body_parts_on_a_chip
"
1563,"https://www.ted.com/talks/toni_griffin_a_new_vision_for_rebuilding_detroit
"
1566,"https://www.ted.com/talks/krista_donaldson_the_80_prosthetic_knee_that_s_changing_lives
"
1571,"https://www.ted.com/talks/suzanne_talhouk_don_t_kill_your_language
"
1572,"https://www.ted.com/talks/roger_stein_a_bold_new_way_to_fund_drug_research
"
1577,"https://www.ted.com/talks/mark_kendall_demo_a_needle_free_vaccine_patch_that_s_safer_and_way_cheaper
"
1582,"https://www.ted.com/talks/paula_johnson_his_and_hers_healthcare
"
1583,"https://www.ted.com/talks/yves_morieux_as_work_gets_more_complex_6_rules_to_simplify
"
1587,"https://www.ted.com/talks/mckenna_pope_want_to_be_an_activist_start_with_your_toys
"
1590,"https://www.ted.com/talks/esta_soler_how_we_turned_the_tide_on_domestic_violence_hint_the_polaroid_helped
"
1594,"https://www.ted.com/talks/aparna_rao_art_that_craves_your_attention
"
1595,"https://www.ted.com/talks/david_puttnam_what_happens_when_the_media_s_priority_is_profit
"
1598,"https://www.ted.com/talks/rupal_patel_synthetic_voices_as_unique_as_fingerprints
"
1600,"https://www.ted.com/talks/molly_stevens_a_new_way_to_grow_bone
"
1602,"https://www.ted.com/talks/christopher_ryan_are_we_designed_to_be_sexual_omnivores
"
1604,"https://www.ted.com/talks/siddharthan_chandran_can_the_damaged_brain_repair_itself
"
1605,"https://www.ted.com/talks/catherine_bracy_why_good_hackers_make_good_citizens
"
1607,"https://www.ted.com/talks/henry_lin_what_we_can_learn_from_galaxies_far_far_away
"
1608,"https://www.ted.com/talks/annette_heuser_the_3_agencies_with_the_power_to_make_or_break_economies
"
1616,"https://www.ted.com/talks/toby_shapshak_you_don_t_need_an_app_for_that
"
1617,"https://www.ted.com/talks/carin_bondar_the_birds_and_the_bees_are_just_the_beginning
"
1620,"https://www.ted.com/talks/edward_snowden_here_s_how_we_take_back_the_internet
"
1623,"https://www.ted.com/talks/richard_ledgett_the_nsa_responds_to_edward_snowden_s_ted_talk
"
1625,"https://www.ted.com/talks/ziauddin_yousafzai_my_daughter_malala
"
1627,"https://www.ted.com/talks/ed_yong_suicidal_wasps_zombie_roaches_and_other_tales_of_parasites
"
1637,"https://www.ted.com/talks/christopher_emdin_teach_teachers_how_to_create_magic
"
1641,"https://www.ted.com/talks/david_brooks_should_you_live_for_your_resume_or_your_eulogy
"
1642,"https://www.ted.com/talks/jennifer_senior_for_parents_happiness_is_a_very_high_bar
"
1648,"https://www.ted.com/talks/hamish_jolly_a_shark_deterrent_wetsuit_and_it_s_not_what_you_think
"
1653,"https://www.ted.com/talks/andrew_bastawrous_get_your_next_eye_exam_on_a_smartphone
"
1658,"https://www.ted.com/talks/stanley_mcchrystal_the_military_case_for_sharing_knowledge
"
1664,"https://www.ted.com/talks/tristram_wyatt_the_smelly_mystery_of_the_human_pheromone
"
1666,"https://www.ted.com/talks/simon_sinek_why_good_leaders_make_you_feel_safe
"
1667,"https://www.ted.com/talks/jackie_savitz_save_the_oceans_feed_the_world
"
1669,"https://www.ted.com/talks/chris_kluwe_how_augmented_reality_will_change_sports_and_build_empathy
"
1693,"https://www.ted.com/talks/naomi_oreskes_why_we_should_believe_in_science
"
1699,"https://www.ted.com/talks/paul_bloom_can_prejudice_ever_be_a_good_thing
"
1701,"https://www.ted.com/talks/joi_ito_want_to_innovate_become_a_now_ist
"
1711,"https://www.ted.com/talks/shai_reshef_a_tuition_free_college_degree
"
1712,"https://www.ted.com/talks/margaret_gould_stewart_how_giant_websites_design_for_you_and_a_billion_others_too
"
1713,"https://www.ted.com/talks/hubertus_knabe_the_dark_secrets_of_a_surveillance_state
"
1717,"https://www.ted.com/talks/nick_hanauer_beware_fellow_plutocrats_the_pitchforks_are_coming
"
1719,"https://www.ted.com/talks/eric_liu_why_ordinary_people_need_to_understand_power
"
1721,"https://www.ted.com/talks/tim_berners_lee_a_magna_carta_for_the_web
"
1722,"https://www.ted.com/talks/aziza_chaouni_how_i_brought_a_river_and_my_city_back_to_life
"
1727,"https://www.ted.com/talks/rose_goslinga_crop_insurance_an_idea_worth_seeding
"
